fecha,periodo,naturaleza_finca,tipo_interes,tipo_hipotecario
2014-10-01,2014M10,Viviendas,Variable,3.5
2014-11-01,2014M11,Total fincas,Fijo,5.7
2014-11-01,2014M11,Total fincas,Total,3.54
2014-11-01,2014M11,Total fincas,Variable,3.35
2014-11-01,2014M11,Viviendas,Fijo,5.63
2014-11-01,2014M11,Viviendas,Total,3.56
2014-11-01,2014M11,Viviendas,Variable,3.45
2014-12-01,2014M12,Total fincas,Fijo,5.39
2014-12-01,2014M12,Total fincas,Total,3.47
2014-12-01,2014M12,Total fincas,Variable,3.32
2014-12-01,2014M12,Viviendas,Fijo,5.68
2014-12-01,2014M12,Viviendas,Total,3.5
2014-12-01,2014M12,Viviendas,Variable,3.38
2015-01-01,2015M01,Total fincas,Fijo,5.1
2015-01-01,2015M01,Total fincas,Total,3.3
2015-01-01,2015M01,Total fincas,Variable,3.18
2015-01-01,2015M01,Viviendas,Fijo,5.31
2015-01-01,2015M01,Viviendas,Total,3.29
2015-01-01,2015M01,Viviendas,Variable,3.19
2015-02-01,2015M02,Total fincas,Fijo,5.01
2015-02-01,2015M02,Total fincas,Total,3.34
2015-02-01,2015M02,Total fincas,Variable,3.22
2015-02-01,2015M02,Viviendas,Fijo,5.07
2015-02-01,2015M02,Viviendas,Total,3.35
2015-02-01,2015M02,Viviendas,Variable,3.28
2015-03-01,2015M03,Total fincas,Fijo,5.3
2015-03-01,2015M03,Total fincas,Total,3.45
2015-03-01,2015M03,Total fincas,Variable,3.24
2015-03-01,2015M03,Viviendas,Fijo,5.22
2015-03-01,2015M03,Viviendas,Total,3.35
2015-03-01,2015M03,Viviendas,Variable,3.26
2015-04-01,2015M04,Total fincas,Fijo,4.98
2015-04-01,2015M04,Total fincas,Total,3.16
2015-04-01,2015M04,Total fincas,Variable,2.99
2015-04-01,2015M04,Viviendas,Fijo,5.09
2015-04-01,2015M04,Viviendas,Total,3.27
2015-04-01,2015M04,Viviendas,Variable,3.17
2015-05-01,2015M05,Total fincas,Fijo,5.54
2015-05-01,2015M05,Total fincas,Total,3.47
2015-05-01,2015M05,Total fincas,Variable,3.13
2015-05-01,2015M05,Viviendas,Fijo,4.8
2015-05-01,2015M05,Viviendas,Total,3.36
2015-05-01,2015M05,Viviendas,Variable,3.29
2015-06-01,2015M06,Total fincas,Fijo,5.19
2015-06-01,2015M06,Total fincas,Total,3.18
2015-06-01,2015M06,Total fincas,Variable,2.99
2015-06-01,2015M06,Viviendas,Fijo,5.02
2015-06-01,2015M06,Viviendas,Total,3.31
2015-06-01,2015M06,Viviendas,Variable,3.19
2015-07-01,2015M07,Total fincas,Fijo,3.94
2015-07-01,2015M07,Total fincas,Total,3.27
2015-07-01,2015M07,Total fincas,Variable,3.14
2015-07-01,2015M07,Viviendas,Fijo,4.26
2015-07-01,2015M07,Viviendas,Total,3.35
2015-07-01,2015M07,Viviendas,Variable,3.29
2015-08-01,2015M08,Total fincas,Fijo,4.0
2015-08-01,2015M08,Total fincas,Total,3.17
2015-08-01,2015M08,Total fincas,Variable,3.01
2015-08-01,2015M08,Viviendas,Fijo,4.3
2015-08-01,2015M08,Viviendas,Total,3.24
2015-08-01,2015M08,Viviendas,Variable,3.14
2015-09-01,2015M09,Total fincas,Fijo,4.01
2015-09-01,2015M09,Total fincas,Total,3.21
2015-09-01,2015M09,Total fincas,Variable,3.12
2015-09-01,2015M09,Viviendas,Fijo,4.1
2015-09-01,2015M09,Viviendas,Total,3.3
2015-09-01,2015M09,Viviendas,Variable,3.24
2015-10-01,2015M10,Total fincas,Fijo,4.2
2015-10-01,2015M10,Total fincas,Total,3.1
2015-10-01,2015M10,Total fincas,Variable,2.98
2015-10-01,2015M10,Viviendas,Fijo,3.97
2015-10-01,2015M10,Viviendas,Total,3.28
2015-10-01,2015M10,Viviendas,Variable,3.22
2015-11-01,2015M11,Total fincas,Fijo,4.34
2015-11-01,2015M11,Total fincas,Total,3.12
2015-11-01,2015M11,Total fincas,Variable,2.99
2015-11-01,2015M11,Viviendas,Fijo,4.08
2015-11-01,2015M11,Viviendas,Total,3.23
2015-11-01,2015M11,Viviendas,Variable,3.16
2015-12-01,2015M12,Total fincas,Fijo,4.2
2015-12-01,2015M12,Total fincas,Total,3.42
2015-12-01,2015M12,Total fincas,Variable,3.33
2015-12-01,2015M12,Viviendas,Fijo,3.95
2015-12-01,2015M12,Viviendas,Total,3.36
2015-12-01,2015M12,Viviendas,Variable,3.3
2016-01-01,2016M01,Total fincas,Fijo,3.92
2016-01-01,2016M01,Total fincas,Total,3.21
2016-01-01,2016M01,Total fincas,Variable,3.11
2016-01-01,2016M01,Viviendas,Fijo,4.12
2016-01-01,2016M01,Viviendas,Total,3.27
2016-01-01,2016M01,Viviendas,Variable,3.18
2016-02-01,2016M02,Total fincas,Fijo,4.61
2016-02-01,2016M02,Total fincas,Total,3.31
2016-02-01,2016M02,Total fincas,Variable,3.13
2016-02-01,2016M02,Viviendas,Fijo,4.06
2016-02-01,2016M02,Viviendas,Total,3.29
2016-02-01,2016M02,Viviendas,Variable,3.21
2016-03-01,2016M03,Total fincas,Fijo,4.31
2016-03-01,2016M03,Total fincas,Total,3.23
2016-03-01,2016M03,Total fincas,Variable,3.08
2016-03-01,2016M03,Viviendas,Fijo,3.87
2016-03-01,2016M03,Viviendas,Total,3.25
2016-03-01,2016M03,Viviendas,Variable,3.18
2016-04-01,2016M04,Total fincas,Fijo,3.74
2016-04-01,2016M04,Total fincas,Total,3.2
2016-04-01,2016M04,Total fincas,Variable,3.14
2016-04-01,2016M04,Viviendas,Fijo,3.66
2016-04-01,2016M04,Viviendas,Total,3.2
2016-04-01,2016M04,Viviendas,Variable,3.13
2016-05-01,2016M05,Total fincas,Fijo,3.65
2016-05-01,2016M05,Total fincas,Total,3.2
2016-05-01,2016M05,Total fincas,Variable,3.11
